No,필드한글명,설명
1,기준년월,데이터 기준년월
2,ID,고유 ID
3,증감율_이용건수_신용_전월,이용건수 증감율 일시불+할부+현금서비스+카드론 (1개월전)
4,증감율_이용건수_신판_전월,이용건수 증감율 일시불+할부 (1개월전)
5,증감율_이용건수_일시불_전월,이용건수 증감율 일시불 (1개월전)
6,증감율_이용건수_할부_전월,이용건수 증감율 할부 (1개월전)
7,증감율_이용건수_CA_전월,이용건수 증감율 현금서비스 (1개월전)
8,증감율_이용건수_체크_전월,이용건수 증감율 체크 (1개월전)
9,증감율_이용건수_카드론_전월,이용건수 증감율 카드론 (1개월전)
10,증감율_이용금액_신용_전월,이용금액 증감율 일시불+할부+현금서비스+카드론 (1개월전)
11,증감율_이용금액_신판_전월,이용금액 증감율 일시불+할부 (1개월전)
12,증감율_이용금액_일시불_전월,이용금액 증감율 일시불 (1개월전)
13,증감율_이용금액_할부_전월,이용금액 증감율 할부 (1개월전)
14,증감율_이용금액_CA_전월,이용금액 증감율 현금서비스 (1개월전)
15,증감율_이용금액_체크_전월,이용금액 증감율 체크 (1개월전)
16,증감율_이용금액_카드론_전월,이용금액 증감율 카드론 (1개월전)
17,증감율_이용건수_신용_분기,이용건수 증감율 일시불+할부+현금서비스+카드론 (분기)
18,증감율_이용건수_신판_분기,이용건수 증감율 일시불+할부 (분기)
19,증감율_이용건수_일시불_분기,이용건수 증감율 일시불 (분기)
20,증감율_이용건수_할부_분기,이용건수 증감율 할부 (분기)
21,증감율_이용건수_CA_분기,이용건수 증감율 현금서비스 (분기)
22,증감율_이용건수_체크_분기,이용건수 증감율 체크 (분기)
23,증감율_이용건수_카드론_분기,이용건수 증감율 카드론 (분기)
24,증감율_이용금액_신용_분기,이용금액 증감율 일시불+할부+현금서비스+카드론 (분기)
25,증감율_이용금액_신판_분기,이용금액 증감율 일시불+할부 (분기)
26,증감율_이용금액_일시불_분기,이용금액 증감율 일시불 (분기)
27,증감율_이용금액_할부_분기,이용금액 증감율 할부 (분기)
28,증감율_이용금액_CA_분기,이용금액 증감율 현금서비스 (분기)
29,증감율_이용금액_체크_분기,이용금액 증감율 체크 (분기)
30,증감율_이용금액_카드론_분기,이용금액 증감율 카드론 (분기)
31,잔액_신판평균한도소진율_r6m,잔액 신판 평균 한도 소진율 (최근6개월간)
32,잔액_신판최대한도소진율_r6m,잔액 신판최대한도소진율 (최근6개월간)
33,잔액_신판평균한도소진율_r3m,잔액 신판평균한도소진율 (최근3개월간)
34,잔액_신판최대한도소진율_r3m,잔액 신판최대한도소진율 (최근3개월간)
35,잔액_신판ca평균한도소진율_r6m,잔액 신판현금서비스 평균한도소진율 (최근6개월간)
36,잔액_신판ca최대한도소진율_r6m,잔액 신판현금서비스 최대한도소진율 (최근6개월간)
37,잔액_신판ca평균한도소진율_r3m,잔액 신판현금서비스 평균한도소진율 (최근3개월간)
38,잔액_신판ca최대한도소진율_r3m,잔액 신판현금서비스 최대한도소진율 (최근3개월간)
39,변동률_일시불평잔,변동률 일시불 평균 잔액
40,변동률_RV일시불평잔,변동률 리볼빙 일시불 평균 잔액
41,변동률_할부평잔,변동률 할부평균 잔액
42,변동률_CA평잔,변동률 현금서비스 평균 잔액
43,변동률_RVCA평잔,변동률 리볼빙 현금서비스 평균 잔액
44,변동률_카드론평잔,변동률 카드론 평균 잔액
45,변동률_잔액_B1M,변동률 잔액 (1개월전대비)
46,변동률_잔액_일시불_B1M,변동률 잔액 일시불 (1개월전대비)
47,변동률_잔액_CA_B1M,변동률 잔액 현금서비스 (1개월전대비)
48,혜택수혜율_R3M,혜택수혜율 (최근3개월간)
49,혜택수혜율_B0M,혜택수혜율 (당월)
