No,필드한글명,설명
1,기준년월,데이터 기준년월
2,ID,고유 ID
3,컨택건수_카드론_TM_B0M,카드론 TM채널 마케팅 노출 건수 (당월)
4,컨택건수_리볼빙_TM_B0M,리볼빙 TM채널 마케팅 노출 건수 (당월)
5,컨택건수_CA_TM_B0M,현금서비스 TM채널 마케팅 노출 건수 (당월)
6,컨택건수_이용유도_TM_B0M,이용유도 TM채널 마케팅 노출 건수 (당월)
7,컨택건수_신용발급_TM_B0M,신용발급 TM채널 마케팅 노출 건수 (당월)
8,컨택건수_부대서비스_TM_B0M,부대서비스 TM채널 마케팅 노출 건수 (당월)
9,컨택건수_포인트소진_TM_B0M,포인트소진 TM채널 마케팅 노출 건수 (당월)
10,컨택건수_보험_TM_B0M,보험 TM채널 마케팅 노출 건수 (당월)
11,컨택건수_카드론_LMS_B0M,카드론 LMS채널 마케팅 노출 건수 (당월)
12,컨택건수_CA_LMS_B0M,현금서비스 LMS채널 마케팅 노출 건수 (당월)
13,컨택건수_리볼빙_LMS_B0M,리볼빙 LMS채널 마케팅 노출 건수 (당월)
14,컨택건수_이용유도_LMS_B0M,이용유도 LMS채널 마케팅 노출 건수 (당월)
15,컨택건수_카드론_EM_B0M,카드론 이메일 채널 마케팅 노출 건수 (당월)
16,컨택건수_CA_EM_B0M,현금서비스 이메일 채널 마케팅 노출 건수 (당월)
17,컨택건수_리볼빙_EM_B0M,리볼빙 이메일 채널 마케팅 노출 건수 (당월)
18,컨택건수_이용유도_EM_B0M,이용유도 이메일 채널 마케팅 노출 건수 (당월)
19,컨택건수_카드론_청구서_B0M,카드론 청구서 채널 마케팅 노출 건수 (당월)
20,컨택건수_CA_청구서_B0M,현금서비스 청구서 채널 마케팅 노출 건수 (당월)
21,컨택건수_리볼빙_청구서_B0M,리볼빙 청구서 채널 마케팅 노출 건수 (당월)
22,컨택건수_이용유도_청구서_B0M,이용유도 청구서 채널 마케팅 노출 건수 (당월)
23,컨택건수_카드론_인터넷_B0M,카드론 홈페이지 채널 마케팅 노출 건수 (당월)
24,컨택건수_CA_인터넷_B0M,현금서비스 홈페이지 채널 마케팅 노출 건수 (당월)
25,컨택건수_리볼빙_인터넷_B0M,리볼빙 홈페이지 채널 마케팅 노출 건수 (당월)
26,컨택건수_이용유도_인터넷_B0M,이용유도 홈페이지 채널 마케팅 노출 건수 (당월)
27,컨택건수_카드론_당사앱_B0M,카드론 모바일앱 채널 마케팅 노출 건수 (당월)
28,컨택건수_CA_당사앱_B0M,현금서비스 모바일앱 채널 마케팅 노출 건수 (당월)
29,컨택건수_리볼빙_당사앱_B0M,리볼빙 모바일앱 채널 마케팅 노출 건수 (당월)
30,컨택건수_이용유도_당사앱_B0M,이용유도 모바일앱 채널 마케팅 노출 건수 (당월)
31,컨택건수_카드론_TM_R6M,카드론 TM채널 마케팅 노출 건수 (최근6개월간)
32,컨택건수_CA_TM_R6M,현금서비스 TM채널 마케팅 노출 건수 (최근6개월간)
33,컨택건수_리볼빙_TM_R6M,리볼빙 TM채널 마케팅 노출 건수 (최근6개월간)
34,컨택건수_이용유도_TM_R6M,이용유도 TM채널 마케팅 노출 건수 (최근6개월간)
35,컨택건수_신용발급_TM_R6M,신용발급 TM채널 마케팅 노출 건수 (최근6개월간)
36,컨택건수_부대서비스_TM_R6M,부대서비스 TM채널 마케팅 노출 건수 (최근6개월간)
37,컨택건수_포인트소진_TM_R6M,포인트소진 TM채널 마케팅 노출 건수 (최근6개월간)
38,컨택건수_보험_TM_R6M,보험 TM채널 마케팅 노출 건수 (최근6개월간)
39,컨택건수_카드론_LMS_R6M,카드론 LMS채널 마케팅 노출 건수 (최근6개월간)
40,컨택건수_CA_LMS_R6M,현금서비스 LMS채널 마케팅 노출 건수 (최근6개월간)
41,컨택건수_리볼빙_LMS_R6M,리볼빙 LMS채널 마케팅 노출 건수 (최근6개월간)
42,컨택건수_이용유도_LMS_R6M,이용유도 LMS채널 마케팅 노출 건수 (최근6개월간)
43,컨택건수_카드론_EM_R6M,카드론 이메일 채널 마케팅 노출 건수 (최근6개월간)
44,컨택건수_CA_EM_R6M,현금서비스 이메일 채널 마케팅 노출 건수 (최근6개월간)
45,컨택건수_리볼빙_EM_R6M,리볼빙 이메일 채널 마케팅 노출 건수 (최근6개월간)
46,컨택건수_이용유도_EM_R6M,이용유도 이메일 채널 마케팅 노출 건수 (최근6개월간)
47,컨택건수_카드론_청구서_R6M,카드론 청구서 채널 마케팅 노출 건수 (최근6개월간)
48,컨택건수_CA_청구서_R6M,현금서비스 청구서 채널 마케팅 노출 건수 (최근6개월간)
49,컨택건수_리볼빙_청구서_R6M,리볼빙 청구서 채널 마케팅 노출 건수 (최근6개월간)
50,컨택건수_이용유도_청구서_R6M,이용유도 청구서 채널 마케팅 노출 건수 (최근6개월간)
51,컨택건수_카드론_인터넷_R6M,카드론 홈페이지 채널 마케팅 노출 건수 (최근6개월간)
52,컨택건수_CA_인터넷_R6M,현금서비스 홈페이지 채널 마케팅 노출 건수 (최근6개월간)
53,컨택건수_리볼빙_인터넷_R6M,리볼빙 홈페이지 채널 마케팅 노출 건수 (최근6개월간)
54,컨택건수_이용유도_인터넷_R6M,이용유도 홈페이지 채널 마케팅 노출 건수 (최근6개월간)
55,컨택건수_카드론_당사앱_R6M,카드론 모바일앱 채널 마케팅 노출 건수 (최근6개월간)
56,컨택건수_CA_당사앱_R6M,현금서비스 모바일앱 채널 마케팅 노출 건수 (최근6개월간)
57,컨택건수_리볼빙_당사앱_R6M,리볼빙 모바일앱 채널 마케팅 노출 건수 (최근6개월간)
58,컨택건수_이용유도_당사앱_R6M,이용유도 모바일앱 채널 마케팅 노출 건수 (최근6개월간)
59,컨택건수_채권_B0M,컨택건수 채권 (당월)
60,컨택건수_FDS_B0M,컨택건수 사기탐지거래 관련 (당월)
61,컨택건수_채권_R6M,컨택건수 채권 관련 (최근6개월간)
62,컨택건수_FDS_R6M,컨택건수 사기탐지거래 관련 (최근6개월간)
63,캠페인접촉건수_R12M,캠페인 접촉건수 (최근12개월간)
64,캠페인접촉일수_R12M,캠페인 접촉일수 (최근12개월간)
