No,필드한글명,설명
1,기준년월,데이터 기준년월
2,ID,고유 ID
3,잔액_일시불_B0M,잔액 일시불 (당월)
4,잔액_할부_B0M,잔액 할부 (당월)
5,잔액_현금서비스_B0M,잔액 현금서비스 (당월)
6,잔액_리볼빙일시불이월_B0M,잔액 리볼빙 일시불 이월 (당월)
7,잔액_리볼빙CA이월_B0M,잔액 리볼빙 현금서비스 이월 (당월)
8,잔액_카드론_B0M,잔액 카드론 (당월)
9,월중평잔_일시불_B0M,월 평균 잔액 일시불 (당월)
10,월중평잔_할부_B0M,월 평균 잔액 할부 (당월)
11,월중평잔_CA_B0M,월 평잔 잔액 현금서비스 (당월)
12,카드론잔액_최종경과월,카드론 잔액 발생 이후 경과월
13,연체일자_B0M,연체 발생 일자 (당월)
14,연체잔액_B0M,연체 잔액 (당월)
15,연체잔액_일시불_B0M,연체 잔액 일시불 (당월)
16,연체잔액_할부_B0M,연체 잔액 할부 (당월)
17,연체잔액_현금서비스_B0M,연체 잔액 현금서비스 (당월)
18,연체잔액_카드론_B0M,연체 잔액 카드론 (당월)
19,연체잔액_대환론_B0M,연체 잔액 대환 대출 (당월)
20,잔액_현금서비스_B1M,잔액 현금 서비스 (1개월전)
21,잔액_현금서비스_B2M,잔액 현금 서비스 (2개월전)
22,잔액_카드론_B1M,잔액 카드론 (1개월전)
23,잔액_카드론_B2M,잔액 카드론 (2개월전)
24,잔액_카드론_B3M,잔액 카드론 (3개월전)
25,잔액_카드론_B4M,잔액 카드론 (4개월전)
26,잔액_카드론_B5M,잔액 카드론 (6개월전)
27,잔액_할부_B1M,잔액 할부 (1개월전)
28,잔액_할부_B2M,잔액 할부 (2개월전)
29,잔액_일시불_B1M,잔액 일시불 (1개월전)
30,잔액_일시불_B2M,잔액 일시불 (2개월전)
31,연체일수_B1M,연체 경과 일수 (전월기준)
32,연체일수_B2M,연체 경과 일수 (2전월기준)
33,연체원금_B1M,연체원금 (전월기준)
34,연체원금_B2M,연체원금 (2전월기준)
35,연체일수_최근,이번 연체 이전 연체일수
36,연체원금_최근,이번 연체 이전 연체금액
37,최종연체회차,최종 연체 회차
38,매각잔액_B1M,매각 잔액 (1개월전)
39,최종연체개월수_R15M,최종 연체 개월수 (최근15개월간)
40,RV_평균잔액_R12M,리볼빙 평균잔액 (최근1년간)
41,RV_최대잔액_R12M,리볼빙 최대잔액 (최근1년간)
42,RV_평균잔액_R6M,리볼빙 평균잔액 (최근6개월간)
43,RV_최대잔액_R6M,리볼빙 최대잔액 (최근6개월간)
44,RV_평균잔액_R3M,리볼빙 평균잔액 (최근3개월간)
45,RV_최대잔액_R3M,리볼빙 최대잔액 (최근3개월간)
46,RV잔액이월횟수_R6M,리볼빙 잔액 이월 횟수 (최근6개월간)
47,RV잔액이월횟수_R3M,리볼빙 잔액 이월 횟수 (최근3개월)
48,잔액_할부_유이자_B0M,잔액 할부 유이자 (당월)
49,잔액_할부_무이자_B0M,잔액 할부 무이자 (당월)
50,잔액_할부_해외_B0M,잔액 할부 해외 (당월)
51,연체잔액_일시불_해외_B0M,연체잔액 일시불 해외 (당월)
52,연체잔액_RV일시불_B0M,연체잔액 리볼빙 일시불 (당월)
53,연체잔액_RV일시불_해외_B0M,연체잔액 리볼빙 일시불 해외 (당월)
54,연체잔액_할부_해외_B0M,연체잔액 할부 해외 (당월)
55,연체잔액_CA_B0M,연체잔액 현금서비스 (당월)
56,연체잔액_CA_해외_B0M,연체잔액 현금서비스 해외 (당월)
57,월중평잔,월 평균 잔액
58,월중평잔_일시불,월 평균 잔액 일시불
59,월중평잔_RV일시불,월 평균 잔액 리볼빙 일시불
60,월중평잔_할부,월 평균 잔액 할부
61,월중평잔_CA,월 평균 잔액 현금서비스 
62,월중평잔_카드론,월 평균 잔액 카드론
63,평잔_3M,평균 잔액 (최근3개월)
64,평잔_일시불_3M,평균 잔액 일시불 (최근3개월)
65,평잔_일시불_해외_3M,평균 잔액 일시불 해외 (최근3개월)
66,평잔_RV일시불_3M,평균 잔액 리볼빙 일시불 (최근3개월)
67,평잔_RV일시불_해외_3M,평균 잔액 리볼빙 일시불 해외 (최근3개월)
68,평잔_할부_3M,평균 잔액 할부 (최근3개월)
69,평잔_할부_해외_3M,평균 잔액 할부 해외 (최근3개월)
70,평잔_CA_3M,평균 잔액 현금서비스 (최근3개월)
71,평잔_CA_해외_3M,평균 잔액 현금서비스 해외 (최근3개월)
72,평잔_카드론_3M,평균 잔액 카드론 (최근3개월)
73,평잔_6M,평균 잔액 (최근6개월)
74,평잔_일시불_6M,평균 잔액 일시불 (최근6개월)
75,평잔_일시불_해외_6M,평균 잔액 일시불 해외 (최근6개월)
76,평잔_RV일시불_6M,평균 잔액 리볼빙 일시불 (최근6개월)
77,평잔_RV일시불_해외_6M,평균 잔액 리볼빙 일시불 해외 (최근6개월)
78,평잔_할부_6M,평균 잔액 할부 (최근6개월)
79,평잔_할부_해외_6M,평균 잔액 할부 해외 (최근6개월)
80,평잔_CA_6M,평균 잔액 현금서비스 (최근6개월)
81,평잔_CA_해외_6M,평균 잔액 현금서비스 해외 (최근6개월)
82,평잔_카드론_6M,평균 잔액 카드론 (최근6개월)
